x,y,zx,zy,zxy,ncd
s114.txt,s122.txt,598,535,1121,0.979933110367893
s114.txt,s123.txt,598,531,1115,0.9765886287625418
s114.txt,s124.txt,598,583,1169,0.979933110367893
s114.txt,s125.txt,598,498,1084,0.979933110367893
s114.txt,s126.txt,598,547,1133,0.979933110367893
s114.txt,s127.txt,598,536,1128,0.9899665551839465
s114.txt,s128.txt,598,557,1148,0.9882943143812709
s114.txt,s129.txt,598,521,1113,0.9899665551839465
s114.txt,s13.txt,598,589,1188,1.0016722408026757
s114.txt,s130.txt,598,535,1120,0.9782608695652174
s114.txt,s14.txt,598,589,1182,0.9916387959866221
s114.txt,s15.txt,598,593,1185,0.9899665551839465
s114.txt,s16.txt,598,600,1190,0.9866666666666667
s114.txt,s17.txt,598,594,1184,0.9866220735785953
s114.txt,s18.txt,598,598,1187,0.9849498327759197
s114.txt,s19.txt,598,593,1187,0.9933110367892977
s115.txt,s116.txt,595,599,1183,0.9816360601001669
s115.txt,s117.txt,595,590,1175,0.9831932773109243
s115.txt,s118.txt,595,605,1181,0.968595041322314
s115.txt,s119.txt,595,600,1185,0.9833333333333333
s115.txt,s12.txt,595,592,1194,1.011764705882353
s115.txt,s120.txt,595,603,1183,0.9751243781094527
s115.txt,s121.txt,595,569,1155,0.984873949579832
s115.txt,s122.txt,595,535,1119,0.9815126050420168
s115.txt,s123.txt,595,531,1116,0.9831932773109243
s115.txt,s124.txt,595,583,1174,0.9932773109243698
s115.txt,s125.txt,595,498,1086,0.9882352941176471
s115.txt,s126.txt,595,547,1130,0.9798319327731092
s115.txt,s127.txt,595,536,1121,0.9831932773109243
s115.txt,s128.txt,595,557,1146,0.9899159663865547
s115.txt,s129.txt,595,521,1108,0.9865546218487395
s115.txt,s13.txt,595,589,1182,0.9966386554621849
s115.txt,s130.txt,595,535,1117,0.9781512605042016
s115.txt,s14.txt,595,589,1180,0.9932773109243698
s115.txt,s15.txt,595,593,1185,0.9949579831932773
s115.txt,s16.txt,595,600,1185,0.9833333333333333
s115.txt,s17.txt,595,594,1183,0.9899159663865547
s115.txt,s18.txt,595,598,1185,0.9866220735785953
s115.txt,s19.txt,595,593,1185,0.9949579831932773
s116.txt,s117.txt,599,590,1179,0.9833055091819699
s116.txt,s118.txt,599,605,1188,0.9735537190082645
s116.txt,s119.txt,599,600,1186,0.9783333333333334
s116.txt,s12.txt,599,592,1186,0.991652754590985
s116.txt,s120.txt,599,603,1190,0.9800995024875622
s116.txt,s121.txt,599,569,1155,0.9782971619365609
s116.txt,s122.txt,599,535,1119,0.9749582637729549
s116.txt,s123.txt,599,531,1115,0.9749582637729549
s116.txt,s124.txt,599,583,1173,0.9849749582637729
s116.txt,s125.txt,599,498,1084,0.9782971619365609
s116.txt,s126.txt,599,547,1126,0.9666110183639399
s116.txt,s127.txt,599,536,1127,0.986644407345576
s116.txt,s128.txt,599,557,1146,0.9833055091819699
s116.txt,s129.txt,599,521,1112,0.986644407345576
s116.txt,s13.txt,599,589,1187,0.998330550918197
s116.txt,s130.txt,599,535,1129,0.991652754590985
s116.txt,s14.txt,599,589,1175,0.9782971619365609
s116.txt,s15.txt,599,593,1178,0.9766277128547579
s116.txt,s16.txt,599,600,1186,0.9783333333333334
s116.txt,s17.txt,599,594,1182,0.9816360601001669
s116.txt,s18.txt,599,598,1189,0.986644407345576
s116.txt,s19.txt,599,593,1181,0.9816360601001669
s117.txt,s118.txt,590,605,1178,0.971900826446281
s117.txt,s119.txt,590,600,1184,0.99
s117.txt,s12.txt,590,592,1181,0.9983108108108109
s117.txt,s120.txt,590,603,1186,0.988391376451078
s117.txt,s121.txt,590,569,1148,0.9813559322033898
s117.txt,s122.txt,590,535,1111,0.976271186440678
s117.txt,s123.txt,590,531,1108,0.9779661016949153
s117.txt,s124.txt,590,583,1161,0.9796610169491525
s117.txt,s125.txt,590,498,1077,0.9813559322033898
s117.txt,s126.txt,590,547,1127,0.9830508474576272
s117.txt,s127.txt,590,536,1116,0.9830508474576272
s117.txt,s128.txt,590,557,1137,0.9830508474576272
s117.txt,s129.txt,590,521,1099,0.9796610169491525
s117.txt,s13.txt,590,589,1182,1.005084745762712
s117.txt,s130.txt,590,535,1110,0.9745762711864406
s117.txt,s14.txt,590,589,1171,0.9864406779661017
s117.txt,s15.txt,590,593,1175,0.9865092748735245
s117.txt,s16.txt,590,600,1185,0.9916666666666667
s117.txt,s17.txt,590,594,1177,0.9882154882154882
s117.txt,s18.txt,590,598,1178,0.9832775919732442
s117.txt,s19.txt,590,593,1173,0.9831365935919055
s118.txt,s119.txt,605,600,1194,0.9818181818181818
s118.txt,s12.txt,605,592,1187,0.9834710743801653
