36.18496319;109.9586259;82.6829935;50.84635884;30.79847157;71.55664672
82.1907295;75.79072897;78.65927526;107.8792937;16.62847591;68.01052688
128.6347586;41.85623109;120.6763957;58.47019818;27.11610942;40.26106477
78.74306246;95.90085054;106.9241537;44.04174686;79.21088592;66.86018661
101.4555894;120.3061745;0;30.37363311;17.22405851;0
82.35364274;160.3906756;78.72635049;27.3757112;19.77239445;8.92282752
120.1276862;155.1780204;145.1901769;83.29496975;82.46287517;3.78413698
107.9025995;127.6667151;133.3831167;126.9827751;90.92947504;34.09104703
111.6618821;64.18205228;45.10233137;56.07856818;22.55199216;21.11205741
102.4776341;76.60461304;67.88250201;139.4799713;50.00784096;115.771095
108.4181124;96.41488557;106.8816917;137.6871867;94.82447705;10.63699766
115.7534714;73.55541836;155.0517143;41.93899511;38.9408991;46.37664925
141.0885832;222.2742867;112.8404167;44.81493104;44.86310228;7.581493365
15.66937751;101.2642545;147.7166395;76.55766037;17.75088332;54.66618187
64.77765762;112.0473942;145.5480631;155.1640369;37.12251793;50.94589948
78.87698555;75.03527993;30.83451955;116.7576104;9.980854075;49.82106485
